Sample,0_Mean_Ang,0_Variance_Ang,0_Skewness_Ang,0_Kurtosis_Ang,0_Standard_dev_Ang,0_Max_Ang,Dyn_Range_Ang,0_Mean_bra,0_Variance_bra,0_Skewness_bra,0_Kurtosis_bra,0_Standard_bra,0_Max_bra,Dyn_Range_bra,0_Mean_thr,0_Variance_thr,0_Skewness_thr,0_Kurtosis_thr,0_Standard_dev_thr,0_Max_thr,Dyn_Range_thr,DRIVER
201,0.213178105,0.035515929,-1.967330038,1.882282611,0.188456704,0.292277617,0.544559132,0,0,0,-3,0,0,0,0.331825741,0.017450501,-1.075878827,0.276735069,0.132100343,0.467586788,0.46475904,2
202,-0.832909663,2.605006927,-0.97972812,-0.759845497,1.614003385,0.292277617,4.374540562,0,0,0,-3,0,0,0,0.456445631,1.43E-05,-1.283009216,-0.312876854,0.003786341,0.458544709,0.009127362,2
203,-4.289562313,5.293126703,-0.03230759,-1.859713864,2.300679618,-1.566139818,5.264201014,0,0,0,-3,0,0,0,0.305578793,0.019318189,-0.640675713,-0.94077442,0.138989889,0.449417347,0.439342595,2
204,-6.532013434,0.023435509,-2.241993245,3.427281473,0.153086605,-6.465391902,0.519652648,0,0,0,-3,0,0,0,0.430806524,4.30E-07,-6.857142857,45.02040816,0.000655925,0.430900228,0.004685177,2
205,-6.936442821,0.012813925,2.138141554,2.858814152,0.113198609,-6.623098366,0.361946184,0,0,0,-3,0,0,0,0.426215051,2.77E-32,0,-3,1.67E-16,0.426215051,0,2
206,-9.193026646,64.44383931,-0.881960605,-0.999345438,8.027692029,-1.470739151,21.37388394,0,0,0,-3,0,0,0,0.364073248,0.011350855,-1.704776412,1.712842907,0.106540393,0.426215051,0.416140299,2
207,-11.22377783,68.24887484,-0.082669979,-1.566653875,8.261287723,-0.086144715,21.64079859,0,0,0,-3,0,0,0,0.403822228,0.003277422,-4.610468193,21.319021,0.057248776,0.421507081,0.369027725,2
208,83.52187573,587.3823406,-0.199846464,-1.415228694,24.23597204,113.0932013,73.17379857,0,0,0,-3,0,0,0,0.283730722,0.009733931,-1.028125577,0.01247254,0.098660689,0.373103945,0.370276197,2
209,3.401928545,4034.362451,1.047458453,-0.880318387,63.51663129,113.2096942,152.410081,0,0,0,-3,0,0,0,0.410072941,0.025018654,-0.379600896,-0.475006634,0.158172861,0.628794502,0.611526613,2
210,-13.27425135,81.05804702,-0.106086852,-1.307726299,9.003224257,-1.756951538,28.42172876,0,0,0,-3,0,0,0,0.510764397,0.001064544,1.318959893,0.434885659,0.032627351,0.593993559,0.108572193,2
211,-2.650408362,0.341503719,0.283488155,-1.446643388,0.584383195,-1.710786079,1.708897845,0,0,0,-3,0,0,0,0.483331668,2.15E-05,-1.875599179,1.668504256,0.004641181,0.485421366,0.013345025,2
212,-0.986269115,1.58849709,1.605439369,1.986712493,1.260355938,2.307934725,4.683598758,0,0,0,-3,0,0,0,0.207811817,0.025821676,0.589541649,-1.091823301,0.160691244,0.472076341,0.469248593,2
213,2.209423845,0,0,-3,0,2.209423845,0,0,0,0,-3,0,0,0,0.11875268,0.012716896,0.101576991,-1.852413204,0.112769216,0.251658979,0.248831231,2
214,-0.572471288,2.883693585,0.844729828,-0.9883393,1.698144159,2.209423845,4.221841009,0.085771265,0.007627468,0.244823345,-1.758399796,0.087335375,0.199662632,0.199662632,0.089992395,0.014364357,0.850541458,-0.749642074,0.119851397,0.397617411,0.397617411,2
215,-0.783658951,0.000740172,0.222817413,2.051901941,0.027206099,-0.710707938,0.129226304,0,0,0,-3,0,0,0,0.450108175,0.000619225,-0.664202114,-0.443329747,0.024884241,0.494233732,0.091790974,2
216,0.300044621,0.55438512,-0.360277386,-1.574192776,0.744570426,1.129167887,1.839875825,0,0,0,-3,0,0,0,0.455767428,4.93E-06,0.451050802,-1.796553174,0.002220686,0.458544709,0.00455292,2
217,0.390268611,0.000839313,2.340831735,3.945094403,0.028970905,0.486106737,0.10768327,0,0,0,-3,0,0,0,0.453991789,1.23E-32,0,-3,1.11E-16,0.453991789,0,2
218,-0.453604187,0.930926338,0.044136579,-1.633318414,0.96484524,0.867626009,2.510704311,0,0,0,-3,0,0,0,0.453991789,1.23E-32,0,-3,1.11E-16,0.453991789,0,2
